,acousticness,danceability,energy,instrumentalness,popularity,speechiness
469,0.693,0.757,0.217,0.0,0,0.959
470,0.647,0.755,0.152,0.0,0,0.962
471,0.672,0.69,0.177,0.0,0,0.959
472,0.995,0.564,0.178,0.921,0,0.0432
473,0.994,0.537,0.153,0.0,0,0.0898
474,0.7959999999999999,0.738,0.19,0.0,0,0.963
475,0.711,0.723,0.221,0.0,0,0.957
476,0.995,0.528,0.3429999999999999,0.0,0,0.315
477,0.996,0.614,0.0423,0.00293,41,0.0535
478,0.984,0.831,0.262,0.912,37,0.0942
479,0.996,0.537,0.0443,0.000265,29,0.0343
480,0.986,0.7709999999999999,0.0905,0.0001409999999999,25,0.0613
481,0.992,0.693,0.027,0.0,26,0.0562
482,0.995,0.525,0.2319999999999999,0.0181,25,0.0335
483,0.995,0.7090000000000001,0.062,0.00341,27,0.048
484,0.976,0.665,0.254,0.00217,30,0.108
485,0.99,0.71,0.0735,0.0,23,0.0488
486,0.994,0.408,0.145,4.73e-05,22,0.0501
487,0.992,0.5870000000000001,0.175,0.000318,22,0.0384
488,0.993,0.516,0.146,0.0223,22,0.0454
489,0.991,0.355,0.114,0.00686,23,0.0588
490,0.996,0.6829999999999999,0.0534,0.000335,21,0.0356
491,0.994,0.708,0.361,0.883,20,0.0441
492,0.996,0.491,0.0583,0.376,17,0.0431
493,0.971,0.691,0.198,0.0088799999999999,16,0.0784
494,0.995,0.415,0.0795,3.73e-05,15,0.0908
495,0.996,0.546,0.1889999999999999,0.908,13,0.0581
